ID,control_15wks vs control_6wks,miscanthus_sinensis_6wks vs control_6wks,miscanthus_sinensis_15wks vs control_6wks,miscanthus_sacchariflorus_4x_15wks vs control_6wks,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,miscanthus_sacchariflorus_15wks vs control_6wks,miscanthus_floridulus_6wks vs control_6wks,miscanthus_floridulus_15wks vs control_6wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_6wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_6wks,miscanthus_sinensis_6wks vs control_15wks,miscanthus_sinensis_15wks vs control_15wks,miscanthus_sacchariflorus_4x_15wks vs control_15wks,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_15wks,miscanthus_sacchariflorus_15wks vs control_15wks,miscanthus_floridulus_6wks vs control_15wks,miscanthus_floridulus_15wks vs control_15wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_15wks,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_6wks,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_6wks,miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_6wks,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,miscanthus_floridulus_15wks vs miscanthus_sinensis_6wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_6wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_6wks,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_15wks,miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_15wks,miscanthus_floridulus_6wks vs miscanthus_sinensis_15wks,miscanthus_floridulus_15wks vs miscanthus_sinensis_15wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_15wks,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_4x_15wks,miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_4x_15wks,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_4x_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_4x_15wks,miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks,miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks,miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_15wks,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_15wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_15wks,miscanthus_floridulus_15wks vs miscanthus_floridulus_6wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_6wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_6wks,miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_15wks,miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_ssp_transmorrisonensis_6wks
146,*,NA,*,,,*,NA,NA,NA,*,*,*,*,,,*,*,*,*,*,*,*,*,NA,NA,NA,*,,,,,*,,,,*,,,,,,,,,,*,*,*,*,NA,NA,*,NA,*,*
125,*,NA,*,*,*,*,,,NA,*,*,*,,,,*,*,*,,*,*,*,*,*,*,NA,*,,,*,*,*,*,*,,,,,*,,,*,,*,,*,*,*,,,,*,,,*
545,*,NA,*,,NA,*,NA,*,NA,,*,*,*,*,,*,*,*,*,*,*,NA,*,NA,*,NA,*,*,*,,*,,*,,,*,,,,,*,NA,,NA,,*,*,*,*,,NA,,,,
1264,*,,*,*,*,*,*,*,,*,*,,NA,NA,NA,*,,*,NA,*,*,*,*,,*,,*,,,,*,,*,,NA,NA,*,,*,NA,NA,*,,*,NA,*,,*,NA,*,,*,*,,*
1211,*,NA,*,*,,*,NA,NA,NA,*,*,,,,,*,*,*,,*,*,,*,NA,NA,NA,*,,,,*,*,,,,,,,,,,,,,,*,*,*,,NA,NA,*,NA,*,*
2495,*,,*,*,*,*,*,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
666,*,NA,,NA,NA,*,NA,,NA,NA,*,*,*,*,,*,*,*,*,*,NA,NA,*,NA,,NA,NA,,,,,,,,NA,,NA,,NA,NA,,NA,,NA,NA,,,,*,,NA,NA,,,NA
815,*,NA,NA,,*,*,NA,NA,NA,*,*,*,*,,,*,*,*,,NA,*,*,*,NA,NA,NA,*,,*,*,NA,NA,NA,*,,,,,,,,*,*,*,,*,*,,,NA,NA,*,NA,*,*
1447,*,NA,*,NA,NA,*,NA,NA,NA,,*,*,*,*,,*,*,*,*,*,NA,NA,*,NA,NA,NA,,,,,,,,,NA,*,NA,NA,NA,,*,NA,NA,NA,,*,*,*,,NA,NA,,NA,,
3584,*,NA,NA,*,NA,*,NA,NA,NA,NA,*,*,*,*,,*,*,*,*,NA,*,NA,*,NA,NA,NA,NA,,NA,*,NA,NA,NA,NA,,,*,*,,,*,NA,NA,NA,NA,*,*,*,*,NA,NA,NA,NA,NA,NA
2193,*,NA,NA,NA,,NA,NA,NA,NA,NA,*,*,*,*,*,*,*,*,*,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,*,NA,NA,NA,*,*,,NA,NA,*,*,*,*,*,*,*,*,*,*,NA,NA,,*,,NA,NA,*,NA,*,*,,NA,NA,*,,,*,NA,NA,,,,,,,,,,,,,,NA,,
4074,*,,*,*,*,*,,*,,*,*,NA,NA,,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,,NA,*,NA,*,NA,*,NA,*,NA,*,NA,,,,,,*,NA,*,NA,*,,*,*,NA,*
2930,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
863,*,NA,*,*,NA,*,,*,NA,NA,*,,*,*,*,*,,*,*,*,*,NA,*,,*,NA,NA,*,*,,*,,*,*,,,,,,,*,,*,NA,NA,*,,*,*,*,,,*,*,NA
298,*,,*,*,,*,,*,,,*,*,NA,,*,*,*,*,*,*,*,*,*,,*,,,,,,*,,*,,,*,*,,*,,,,,,,*,,*,,*,,,*,,
438,*,,*,*,*,*,,*,,*,*,NA,NA,NA,,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,,*,NA,*,NA,NA,,*,NA,*,NA,,*,NA,*,NA,*,,*,,*,,*,*,NA,*
350,*,NA,*,,,*,NA,NA,NA,*,*,*,*,,,*,*,*,*,*,*,*,*,NA,NA,NA,*,,,*,*,*,*,,,,,,,,,,,,,*,*,*,*,NA,NA,*,NA,*,*
1905,*,NA,*,NA,,*,NA,*,NA,,*,*,*,*,*,*,*,*,*,*,NA,,*,NA,,NA,,,*,,*,,,,,,NA,,NA,,*,,,,,*,,,,,NA,,,,
611,*,,*,*,*,*,,*,,*,*,NA,*,,*,*,NA,*,NA,*,*,*,*,,*,,*,,,*,*,NA,*,NA,,,,*,,,,*,,*,,,*,,,*,,*,*,NA,*
1676,*,NA,*,*,,*,NA,,NA,*,*,,,*,,*,,*,,*,*,*,*,NA,*,NA,*,,,,*,,*,,,,*,,,,,,,,,,,,,,NA,*,,,*
606,*,NA,*,*,,*,,,NA,*,*,,,*,,,*,*,,*,*,,*,,,NA,*,,,,,,*,,,,,,*,,*,,,,,,*,*,,,,,,*,*
11,*,,,*,*,*,,*,,*,*,*,NA,,*,,*,*,NA,,*,,,,,,*,,,,,,,,,*,,,*,NA,,,,,,,,,,,,,*,,*
3127,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,,NA,*,NA,*,NA,*,,*,*,NA,*
1406,*,,*,*,,,,*,,*,*,NA,,,*,*,NA,,NA,*,*,*,*,,*,,*,,,,*,NA,,NA,,,,,,,,,,,,,,,*,*,,*,,NA,
2188,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
2637,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
1833,*,NA,*,*,*,*,NA,*,,,*,,,*,,*,,*,,*,*,*,*,NA,*,,*,,,,*,,*,,,,*,,*,,*,,,,,*,,*,,,,,,,
112,*,,,*,*,,,*,,*,*,*,NA,,*,*,,*,,*,*,*,*,,*,,*,,,,,,,,,,,,,,,,,,,,,,,*,,*,*,,*
667,*,,*,*,*,*,,*,,*,*,,,NA,NA,*,NA,,NA,*,*,*,*,,*,,*,,,,,,,,,,,,,,NA,*,NA,,NA,*,NA,,NA,*,,*,,NA,
161,*,,*,*,*,*,,*,,*,*,*,NA,NA,,*,NA,*,NA,*,*,*,*,,*,,*,,,,,,,,NA,,*,NA,*,NA,,*,NA,*,NA,*,,,,*,,*,*,NA,*
1677,*,NA,,NA,NA,*,NA,NA,NA,NA,*,*,*,*,*,*,*,*,*,,NA,NA,*,NA,NA,NA,NA,,,,,,,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA
3901,*,,*,*,*,*,*,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
4575,*,NA,*,,NA,*,NA,,NA,*,*,,*,*,,*,*,*,,*,*,NA,*,NA,,NA,*,,*,,*,,*,,*,,,,,,*,NA,,NA,*,*,,*,,,NA,*,,,*
2972,*,NA,NA,,NA,*,NA,NA,NA,NA,*,*,*,*,,*,*,*,*,NA,,NA,*,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,,,,,,,*,NA,NA,NA,NA,,,*,*,NA,NA,NA,NA,NA,NA
2439,*,NA,*,,,*,NA,,NA,NA,*,,*,*,,*,,*,*,*,*,*,*,NA,,NA,NA,,,,,,*,*,,,,,,,,,,,,*,,*,*,,NA,NA,,,NA
4455,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
263,*,,,,*,,,*,,*,*,,,NA,*,*,NA,*,NA,*,*,*,*,,*,,*,,,,,,,,*,,,,,,,*,NA,*,NA,,*,,,*,,*,*,NA,*
201,*,NA,*,*,*,*,NA,,NA,*,*,*,,,,*,*,*,,*,*,*,*,NA,,NA,*,,,,*,,,,,,*,,,,,*,*,*,,,,*,,,NA,*,,*,*
204,*,,,*,*,*,*,*,,*,*,*,NA,,NA,*,*,*,NA,*,*,*,*,,*,,*,*,,*,,,,*,,NA,*,,*,NA,,*,,,,*,,*,NA,*,,*,*,*,*
1331,*,NA,,,NA,*,NA,NA,NA,,*,*,*,*,,*,*,*,*,*,*,NA,*,NA,NA,NA,*,,,,,,,,,,,,,,*,NA,NA,NA,,*,*,*,,NA,NA,,NA,,
3033,*,,,,,,,,,,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,,NA,,NA,NA,NA,*,NA,,NA,NA,,NA,,NA,*,NA,*,NA,,,*,*,NA,
2659,*,NA,,*,,*,NA,NA,NA,*,*,*,,,,*,*,*,*,,*,,*,NA,NA,NA,,*,,,,,,,,,*,*,*,,,,,,,,,,,NA,NA,*,NA,*,*
5734,*,,*,*,*,*,*,*,,*,,NA,NA,NA,NA,,NA,,NA,*,*,,*,,,,,NA,NA,NA,*,NA,,NA,NA,NA,*,NA,,NA,NA,,NA,,NA,*,NA,,NA,*,,*,,NA,
2538,*,NA,NA,*,,NA,NA,*,NA,NA,*,,*,,*,*,,*,*,NA,,,NA,NA,*,NA,NA,,,NA,NA,,NA,NA,,,,,,,*,,,,,NA,*,NA,NA,*,NA,NA,*,*,NA
364,*,,*,*,*,*,,*,,*,*,NA,,,*,*,NA,*,NA,*,*,*,*,,*,,*,,,,*,NA,*,NA,,,*,,,,,*,,*,,*,,,,*,,*,*,NA,*
2289,*,NA,*,,,*,NA,,NA,*,*,*,*,*,,*,*,*,*,*,*,*,*,NA,,NA,*,,,,*,,,,,,,,,,*,,,,,*,*,*,,,NA,*,,,*
2225,*,NA,*,*,,*,NA,,,NA,*,,,*,,*,,*,*,*,*,,*,NA,*,,NA,,,,,,,*,,,,,,,,,,,,,,,*,,,NA,,,
120,*,,,,,*,*,*,,,*,*,*,*,*,*,*,*,*,*,,,*,*,*,,,,,*,*,*,,,,*,*,*,,,*,,,,,*,*,*,*,NA,*,*,*,*,
4283,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,,NA,*
1992,*,NA,,NA,NA,,NA,NA,NA,NA,*,*,*,*,*,*,*,*,*,,NA,NA,*,NA,NA,NA,NA,,,,,,,,NA,,NA,NA,NA,NA,*,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA
2485,*,NA,*,*,,,NA,,NA,*,*,,,*,*,*,,*,,*,*,,*,NA,*,NA,*,,,,*,,*,,,,,,,,,,,,,,,,,,NA,*,,,*
41,*,,,*,*,*,,*,,*,*,*,*,,*,*,,*,,*,*,*,*,,*,,*,,,,,,,,,,*,*,,,,,,,,*,,,,*,,*,*,,*
731,*,NA,,*,*,*,NA,NA,NA,*,*,*,,*,,*,*,*,,*,*,*,*,NA,NA,NA,*,*,,*,,,,*,,,*,*,*,,,,*,*,*,*,*,*,,NA,NA,*,NA,*,*
1801,*,NA,NA,NA,NA,*,NA,NA,NA,NA,*,*,*,*,,*,*,*,*,NA,NA,NA,*,NA,NA,NA,NA,NA,NA,*,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,*,,*,NA,NA,NA,NA,NA,NA
832,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
2432,*,NA,NA,NA,NA,*,NA,NA,NA,NA,*,*,*,*,,*,*,*,*,NA,NA,NA,*,NA,NA,NA,NA,NA,NA,*,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,*,*,,,NA,NA,NA,NA,NA,NA
5037,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,,NA,NA,NA,*,NA,*,NA,NA,*,NA,,NA,*,NA,*,NA,*,,*,,NA,
10016,*,NA,*,,NA,*,NA,,NA,NA,*,*,*,*,,*,*,*,*,*,*,NA,*,NA,,NA,NA,,,,,,,,,,,,,,,NA,,NA,NA,,,,,,NA,NA,,,NA
270,*,NA,*,*,*,*,,NA,NA,*,*,*,,,,*,*,*,,*,*,*,*,,NA,NA,*,,,*,*,*,*,*,,,,*,,,,*,*,*,*,*,*,*,,,,*,NA,*,*
1639,*,,*,*,,*,,*,,,*,,,,,*,,*,,*,*,*,*,,*,,*,NA,,NA,*,,*,,*,NA,*,,*,,,,,,,*,,*,*,*,,,*,,
4673,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
2441,*,NA,*,,,*,NA,*,NA,*,*,,*,*,,*,*,*,,*,*,*,*,NA,*,NA,*,,,,*,,*,,,,,,,,,,,,,*,,*,,*,NA,*,*,,*
1132,*,NA,NA,NA,NA,NA,NA,NA,NA,,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,
769,*,,*,*,*,*,,*,,*,*,*,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,,,*,,,,,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
3055,*,,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,*,*,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,*,*,*,*,,*,*,*,,*,,,NA,,*,NA,NA,,NA,,*,,,,,,,,,,,,,,,,NA,NA,,NA,,,,,,,,,,NA,,NA,,NA,
804,*,NA,,,NA,*,NA,NA,NA,,*,*,*,*,,*,*,*,*,*,,NA,*,NA,NA,NA,,,,*,,,,,,*,,,,,*,NA,NA,NA,,*,*,*,*,NA,NA,,NA,,
1283,*,NA,NA,,NA,*,NA,NA,NA,,*,*,*,*,,*,*,*,*,NA,*,NA,*,NA,NA,NA,*,*,NA,*,NA,NA,NA,,,,,,,,,NA,NA,NA,,,,,,NA,NA,,NA,,
5893,*,,*,*,*,*,,*,,*,,NA,NA,NA,NA,,NA,,NA,,,,,,,,*,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,,,,NA,
5152,*,NA,,NA,NA,,NA,*,NA,NA,*,,*,*,,*,*,*,*,*,NA,NA,*,NA,*,NA,NA,,,,,,*,,NA,,NA,,NA,NA,,NA,,NA,NA,,,*,*,,NA,NA,*,*,NA
851,*,NA,,*,*,*,NA,NA,NA,*,*,*,,*,,*,*,*,,*,*,*,*,NA,NA,NA,*,,,*,,,,*,,,*,*,,,,*,*,*,*,*,*,*,,NA,NA,*,NA,*,*
1721,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,,,NA,NA,NA,*,,*,NA,NA,*,,*,NA,*,,*,NA,*,,*,*,,*
1665,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,
3509,*,,*,*,,*,,,,*,*,,,*,,*,*,*,,*,*,NA,*,NA,,NA,*,,*,*,*,*,,,,,,,*,,*,NA,,NA,*,*,*,*,,,NA,*,,*,*
820,*,NA,,,,*,NA,NA,NA,NA,*,,*,,,*,*,*,*,*,*,*,*,NA,NA,NA,NA,,,*,,,,,,*,,,,,,,,,,*,*,*,*,NA,NA,NA,NA,NA,NA
5980,*,,*,*,*,*,*,*,,*,*,NA,NA,NA,NA,NA,NA,,NA,*,*,,*,*,,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,*,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,
2475,*,,*,,,,*,*,,*,,*,*,*,*,NA,NA,*,NA,,*,,,,,,*,*,,*,,,*,,*,,*,*,,*,,,,,,*,*,,*,NA,*,NA,*,NA,*
1393,*,,*,*,,*,*,,,*,*,,,*,,*,,*,,*,*,,*,,*,,*,,*,,*,,*,,,,*,,*,,,,,,,*,,*,,*,,*,*,,*
4445,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,,NA,*,*,*,*,,,,*,NA,NA,NA,*,NA,,NA,NA,NA,*,NA,,NA,NA,*,NA,,NA,*,NA,,NA,*,,*,,NA,
1166,*,*,,,*,,,,,*,*,*,*,*,*,*,*,*,*,NA,*,NA,*,NA,*,NA,NA,,NA,,NA,,NA,NA,,,,,,,,NA,*,NA,NA,,,,,*,NA,NA,,,NA
773,*,,,,*,,,*,,*,*,*,,NA,*,*,NA,*,NA,*,*,*,*,,*,,*,,,,,,,,,,,,,,,*,NA,*,NA,,,,,*,,*,*,NA,
5689,*,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1517,*,*,,,,*,*,,*,,*,*,*,*,*,*,*,*,*,*,*,NA,*,NA,,NA,NA,,*,,*,,*,*,,,,,,,*,NA,,NA,NA,*,*,*,*,,NA,NA,,,NA
901,*,,*,*,,*,,*,,,*,,NA,,,*,NA,*,,*,*,*,*,,*,,*,,,,*,,*,,*,,*,NA,*,,,,,,,*,,*,,*,,,*,,
7,*,,*,,,*,*,,,,*,*,,,,*,*,*,*,*,*,,*,,,,,,,*,*,*,*,,,*,*,,,,,,,,,*,*,*,*,,,,,,
2342,*,NA,*,NA,NA,*,NA,*,NA,,*,,*,*,,*,*,*,*,*,NA,NA,*,NA,*,NA,,,,,*,,*,,NA,,NA,,NA,,,NA,,NA,,,,*,,,NA,,*,,
3350,*,NA,,,NA,*,NA,NA,NA,,*,*,*,*,*,*,*,*,*,*,,NA,*,NA,NA,NA,*,,,,,*,,,,,,,,,,NA,NA,NA,,,,,,NA,NA,,NA,,
4329,*,,,*,,,,,,,*,*,*,*,*,*,*,*,*,,*,NA,,NA,,NA,NA,,,,,,,,,,*,,,,,NA,,NA,NA,,,,,,NA,NA,,,NA
626,*,,,*,*,*,,NA,,*,*,*,,,,*,*,*,,,*,*,*,,,,*,*,,*,,,,*,,,*,*,,,,*,*,,*,,,,,,*,*,,*,*
736,*,NA,NA,NA,NA,,NA,NA,NA,,*,*,*,*,*,*,*,*,,NA,NA,NA,*,NA,NA,NA,*,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,,NA,NA,NA,,,,,,NA,NA,,NA,,
3437,*,,*,*,*,*,,*,,,*,,,NA,,*,NA,*,,*,,*,,,,,,,,,*,,,,,,,,,,,*,NA,*,,,,,,*,,,*,,
965,*,NA,*,,*,*,NA,,,*,*,,,,,*,*,,,*,,*,*,NA,,,*,,,,,,,,,,,,,,,*,*,,,,,,,,,*,,*,
3644,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,NA,NA,NA,,NA,,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,,NA,*
3386,*,NA,*,*,NA,*,NA,NA,NA,NA,*,,,*,,*,*,*,*,*,*,NA,*,NA,NA,NA,NA,,,,,,*,*,,,,,,,,NA,NA,NA,NA,,,*,*,NA,NA,NA,NA,NA,NA
1768,*,,*,*,*,*,*,,,*,,,,,,,*,*,,,,,,,,,,,,,,,*,,,NA,NA,*,*,NA,,,,,,NA,,*,NA,*,*,NA,*,*,*
135,*,NA,*,,NA,*,NA,*,NA,,*,,,*,,*,,*,*,*,*,NA,*,NA,*,NA,,,*,,*,,*,*,,*,,,,,*,NA,*,NA,,*,*,*,*,*,NA,,*,,
1419,*,NA,NA,NA,NA,*,NA,NA,NA,,*,*,*,*,,*,*,*,*,NA,NA,NA,*,NA,NA,NA,,NA,NA,,NA,NA,NA,,NA,*,NA,NA,NA,,,NA,NA,NA,,,,,,NA,NA,,NA,,
2578,*,NA,*,,NA,*,NA,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,NA,*,NA,NA,NA,NA,,*,*,,,,,,,,,,,*,NA,NA,NA,NA,*,*,*,*,NA,NA,NA,NA,NA,NA
782,*,,*,*,,*,,*,,*,*,,,*,,*,,*,,*,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,,,,*,,*,,,,*,,,
3237,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,,NA,*,*,*,*,,*,,*,NA,NA,NA,,NA,,NA,NA,NA,*,NA,,NA,NA,*,NA,,NA,*,NA,,NA,*,,*,,NA,
898,*,,*,,,*,,,,,*,*,*,*,*,*,*,*,*,*,,,*,,,,,,,,*,,*,,,*,,,,,*,,,,,*,,*,,,NA,,,,
8223,*,,*,*,*,*,,*,,*,*,NA,NA,NA,NA,*,NA,,NA,*,*,*,*,,,,*,NA,NA,NA,*,NA,*,NA,NA,NA,*,NA,*,NA,NA,*,NA,*,NA,*,NA,*,NA,*,,*,*,NA,*
1233,*,NA,NA,NA,,,NA,NA,NA,NA,*,*,*,,,*,*,*,*,NA,NA,*,*,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,*,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA
460,*,,,*,,*,,,,*,*,,,*,,*,,*,,*,*,,*,NA,,,*,,,,*,,,,,,*,,,,*,,,,,*,,*,,,,*,,,*
6461,*,NA,*,*,,*,NA,,,*,*,,,*,,*,,*,,*,*,*,*,NA,*,,*,,,,*,,*,,,,*,,*,,*,,,,,*,,*,,,,*,,,*
2222,*,*,*,*,,*,*,,*,*,*,,,*,,*,,*,,*,*,,*,,*,NA,*,,*,,*,,*,,,,*,,*,,*,,,,,*,,*,,*,,*,*,,*
2956,*,,*,*,*,*,,*,,*,*,,NA,NA,NA,*,NA,*,NA,*,*,*,*,,*,,*,,,,*,,,,NA,NA,*,NA,*,NA,NA,*,NA,,NA,*,NA,*,NA,*,,*,,NA,*
1213,*,NA,NA,NA,NA,*,NA,NA,NA,,*,*,*,*,,*,*,*,*,NA,NA,NA,*,NA,NA,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,,NA,NA,NA,,*,,,,NA,NA,,NA,,
1119,*,NA,*,,,*,NA,,NA,,*,,,*,,*,,*,,*,*,,*,NA,*,NA,*,,,,*,,*,,,,,,,,*,,,,,*,,*,,,NA,,,,
9165,*,,*,*,,*,,*,,*,*,NA,NA,,,*,,*,,*,*,,,,,,*,NA,,,*,,*,,,,,,*,,,,,,,,,*,,,,,*,,*
